,FREQ,EER_TYPE,EER_BASKET,REF_AREA,UNIT_MEASURE,TIME_FORMAT,COLLECTION,TITLE_TS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK
229,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-11-26,67.78,A,F,
230,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-11-27,67.8,A,F,
231,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-11-28,67.93,A,F,
232,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-11-29,67.95,A,F,
233,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-11-30,,H,F,
234,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-12-01,,H,F,
235,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-12-02,68.01,A,F,
236,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-12-03,68.29,A,F,
237,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-12-04,68.2,A,F,
238,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-12-05,68.18,A,F,
239,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-12-06,67.86,A,F,
240,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-12-07,,H,F,
241,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-12-08,,H,F,
242,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-12-09,68.19,A,F,
243,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-12-10,68.19,A,F,
244,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-12-11,68.09,A,F,
245,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-12-12,68.19,A,F,
246,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-12-13,68.09,A,F,
247,D,N,B,CN,882,,A,China - Nominal - Broad (64 economies),1996-12-14,,H,F,
